instrument,split,side,entry_time,exit_time,result_r,exit_reason,bars_held,mfe_status,mfe_r,mae_r,reached_plus_0_25r,reached_plus_0_5r,reached_plus_1_0r,touched_minus_0_5r,touched_minus_0_9r,bars_to_exit,open_at_h2,reached_plus_025_h2,reached_plus_05_h2,mae_by_h2,no_continuation_h2,early_favorable_displacement_h2,early_adverse_expansion_h2,early_retest_hold_h2,early_reclaim_failure_h2,range_compression_after_entry_h2,open_at_h4,reached_plus_025_h4,reached_plus_05_h4,mae_by_h4,no_continuation_h4,early_favorable_displacement_h4,early_adverse_expansion_h4,early_retest_hold_h4,early_reclaim_failure_h4,range_compression_after_entry_h4,open_at_h8,reached_plus_025_h8,reached_plus_05_h8,mae_by_h8,no_continuation_h8,early_favorable_displacement_h8,early_adverse_expansion_h8,early_retest_hold_h8,early_reclaim_failure_h8,range_compression_after_entry_h8,open_at_h16,reached_plus_025_h16,reached_plus_05_h16,mae_by_h16,no_continuation_h16,early_favorable_displacement_h16,early_adverse_expansion_h16,early_retest_hold_h16,early_reclaim_failure_h16,range_compression_after_entry_h16,trap_or_failed_breakout,time_to_first_plus_025,time_to_first_plus_05,time_to_first_plus_10,time_to_first_minus_025,time_to_first_minus_05,time_to_first_minus_09,profitable_trade,survived_to_time_exit,hard_stop_loss,clean_winner,straight_to_stop
USD_JPY,validation,long,2024-01-19T12:30:00+00:00,2024-01-19T20:15:00+00:00,0.0012754368610393,time_stop,32,OK,1.637795,-0.614173,True,True,True,True,False,31,True,True,False,-0.34252,False,True,False,True,True,True,True,True,False,-0.614173,False,False,False,True,True,False,True,True,True,-0.614173,False,False,False,True,True,False,True,True,True,-0.614173,False,False,False,True,True,False,False,1.0,7.0,8.0,2.0,3.0,,True,True,False,False,False
USD_JPY,validation,long,2024-01-22T05:30:00+00:00,2024-01-22T12:15:00+00:00,-0.0067645725804815,hard_stop,28,OK,1.334152,-1.289926,True,True,True,True,True,27,True,True,False,-0.248157,False,True,False,True,False,True,True,True,False,-0.257985,False,True,False,True,False,True,True,True,True,-0.562654,False,False,False,True,True,False,True,True,True,-0.562654,False,False,False,True,True,False,False,1.0,6.0,12.0,3.0,7.0,27.0,False,False,True,False,False
USD_JPY,validation,long,2024-01-25T04:30:00+00:00,2024-01-25T11:30:00+00:00,-0.0067811321778284,hard_stop,29,OK,0.990385,-0.961538,True,True,False,True,True,28,True,True,True,0.25,False,True,False,False,False,True,True,True,True,0.177885,False,True,False,False,False,True,True,True,True,0.076923,False,True,False,False,True,False,True,True,True,-0.673077,False,False,False,True,True,False,False,1.0,1.0,,11.0,12.0,28.0,False,False,True,False,False
USD_JPY,validation,long,2024-01-25T21:15:00+00:00,2024-01-25T23:15:00+00:00,-0.0067786499640731,hard_stop,5,OK,-0.20354,-1.088496,False,False,False,True,True,4,True,False,False,-0.49115,True,False,False,False,True,True,False,False,False,-1.088496,True,False,True,False,True,False,False,False,False,-1.088496,True,False,True,False,True,False,False,False,False,-1.088496,True,False,True,False,True,False,True,,,,1.0,3.0,4.0,False,False,True,False,True
USD_JPY,validation,long,2024-01-25T23:45:00+00:00,2024-01-26T01:15:00+00:00,-0.006778879722337,hard_stop,7,OK,0.753281,-1.005249,True,True,False,True,True,6,True,True,True,-0.044619,False,True,False,True,False,True,True,True,True,-0.889764,False,False,False,True,True,False,False,True,True,-1.005249,False,False,False,True,True,False,False,True,True,-1.005249,False,False,False,True,True,False,False,1.0,1.0,,3.0,4.0,6.0,False,False,True,False,False
USD_JPY,validation,short,2024-02-01T18:45:00+00:00,2024-02-02T03:30:00+00:00,-0.0018103164741037,time_stop,32,OK,0.282971,-0.541613,True,False,False,True,False,31,True,True,False,-0.180538,False,True,False,True,False,True,True,True,False,-0.180538,False,True,False,True,False,True,True,True,False,-0.180538,False,True,False,True,False,True,True,True,False,-0.541613,False,False,False,True,True,False,False,1.0,,,9.0,15.0,,False,True,False,False,False
USD_JPY,validation,long,2024-02-06T07:30:00+00:00,2024-02-06T15:00:00+00:00,-0.0067406793256624,hard_stop,31,OK,1.69969,-2.009288,True,True,True,True,True,30,True,True,True,-0.380805,False,True,False,True,False,False,True,True,True,-0.380805,False,True,False,True,False,False,True,True,True,-0.380805,False,True,False,True,False,False,True,True,True,-0.380805,False,True,False,True,False,False,False,2.0,2.0,6.0,1.0,29.0,30.0,False,False,True,False,False
USD_JPY,validation,long,2024-02-09T14:30:00+00:00,2024-02-11T23:00:00+00:00,-0.0067036259912986,hard_stop,30,OK,-0.017341,-1.366089,False,False,False,True,True,29,True,False,False,-0.518304,True,False,True,True,True,True,True,False,False,-0.811175,True,False,True,True,True,True,True,False,False,-0.811175,True,False,True,True,True,True,True,False,False,-0.811175,True,False,True,True,True,True,True,,,,1.0,1.0,29.0,False,False,True,False,True
USD_JPY,validation,long,2024-02-14T08:30:00+00:00,2024-02-14T16:15:00+00:00,0.0012759157725968,time_stop,32,OK,1.344633,-0.158192,True,True,True,False,False,31,True,True,True,-0.158192,False,True,False,True,False,True,True,True,True,-0.158192,False,True,False,True,False,True,True,True,True,-0.158192,False,True,False,True,False,False,True,True,True,-0.158192,False,True,False,True,True,False,False,1.0,2.0,21.0,,,,True,True,False,True,False
USD_JPY,validation,long,2024-02-16T17:00:00+00:00,2024-02-16T18:00:00+00:00,-0.0066600953725657,hard_stop,5,OK,0.158879,-1.018692,False,False,False,True,True,4,True,False,False,-0.261682,True,False,False,True,True,True,False,False,False,-1.018692,True,False,True,True,True,False,False,False,False,-1.018692,True,False,True,True,True,False,False,False,False,-1.018692,True,False,True,True,True,False,True,,,,2.0,3.0,4.0,False,False,True,False,True
