instrument,bar_type,method,threshold_pips,bar_count,bars_per_year,bars_per_day,median_minutes_per_bar,avg_overshoot_pips,multi_threshold_rate,spread_pips,round_trip_cost_pips,cost_to_threshold,baseline_stop_pips,cost_to_risk_baseline,cost_to_risk_wide,min_gross_edge_baseline_r,cadence_class,label
NZD_USD,volatility,true_range,30.0,44375,17117.35,46.865,19.0,1.1611,0.0006,1.888,2.288,0.0763,30.0,0.0763,0.0381,0.0763,sane,FEASIBLE_ONLY_WITH_LARGER_STOPS
NZD_USD,volatility,true_range,40.0,33586,12955.57,35.47,25.0,1.1701,0.0004,1.888,2.288,0.0572,40.0,0.0572,0.0286,0.0572,sane,FEASIBLE_ONLY_WITH_LARGER_STOPS
NZD_USD,volatility,true_range,50.0,27019,10422.39,28.535,31.0,1.1776,0.0002,1.888,2.288,0.0458,50.0,0.0458,0.0229,0.0458,sane,FEASIBLE_FOR_STRATEGY_RESEARCH
USD_CAD,range,,10.0,22079,8516.82,23.318,18.0,1.5811,0.0127,2.109,2.509,0.2509,20.0,0.1255,0.0627,0.1255,sane,COST_DOMINATED
USD_CAD,range,,15.0,10029,3868.62,10.592,42.0,1.7347,0.0094,2.109,2.509,0.1673,30.0,0.0836,0.0418,0.0836,sane,FEASIBLE_ONLY_WITH_LARGER_STOPS
USD_CAD,range,,20.0,5591,2156.69,5.905,75.0,1.8718,0.0073,2.109,2.509,0.1255,40.0,0.0627,0.0314,0.0627,sane,FEASIBLE_ONLY_WITH_LARGER_STOPS
USD_CAD,range,,25.0,3680,1419.53,3.886,123.0,1.9608,0.0065,2.109,2.509,0.1004,50.0,0.0502,0.0251,0.0502,sane,FEASIBLE_ONLY_WITH_LARGER_STOPS
USD_CAD,range,,30.0,2487,959.34,2.627,211.0,2.0335,0.0064,2.109,2.509,0.0836,60.0,0.0418,0.0209,0.0418,sane,FEASIBLE_FOR_STRATEGY_RESEARCH
USD_CAD,volatility,abs_close,20.0,49048,18919.93,51.8,16.0,1.1804,0.0011,2.109,2.509,0.1255,20.0,0.1255,0.0627,0.1255,sane,COST_DOMINATED
USD_CAD,volatility,abs_close,30.0,33313,12850.26,35.182,25.0,1.1847,0.0007,2.109,2.509,0.0836,30.0,0.0836,0.0418,0.0836,sane,FEASIBLE_ONLY_WITH_LARGER_STOPS
USD_CAD,volatility,abs_close,40.0,25207,9723.43,26.621,33.0,1.2126,0.0005,2.109,2.509,0.0627,40.0,0.0627,0.0314,0.0627,sane,FEASIBLE_ONLY_WITH_LARGER_STOPS
USD_CAD,volatility,abs_close,50.0,20290,7826.73,21.428,42.0,1.1994,0.0002,2.109,2.509,0.0502,50.0,0.0502,0.0251,0.0502,sane,FEASIBLE_ONLY_WITH_LARGER_STOPS
USD_CAD,volatility,true_range,20.0,83704,32288.24,88.4,9.0,1.5057,0.0011,2.109,2.509,0.1255,20.0,0.1255,0.0627,0.1255,very_high,TOO_NOISY
USD_CAD,volatility,true_range,30.0,57102,22026.7,60.306,14.0,1.5243,0.0006,2.109,2.509,0.0836,30.0,0.0836,0.0418,0.0836,very_high,TOO_NOISY
USD_CAD,volatility,true_range,40.0,43329,16713.86,45.76,18.0,1.5452,0.0004,2.109,2.509,0.0627,40.0,0.0627,0.0314,0.0627,sane,FEASIBLE_ONLY_WITH_LARGER_STOPS
USD_CAD,volatility,true_range,50.0,34919,13469.76,36.878,23.0,1.5502,0.0002,2.109,2.509,0.0502,50.0,0.0502,0.0251,0.0502,sane,FEASIBLE_ONLY_WITH_LARGER_STOPS
USD_CHF,range,,10.0,14653,5652.3,15.475,26.0,1.5459,0.0151,1.9389,2.3389,0.2339,20.0,0.1169,0.0585,0.1169,sane,COST_DOMINATED
