campaign_id,ledger_label,financing_mode,instrument,trades,gross_r,financing_r,adjusted_r,hold_days
CAMPAIGN_017,c017_weekly_vol_breakout_folds_base,manual_observed_fixture,USD_CHF,37,14.450288159986616,-2.6772154088383626,11.773072751148248,223.49999999999997
CAMPAIGN_017,c017_weekly_vol_breakout_folds_base,manual_observed_fixture,USD_JPY,25,0.02569863483468452,-1.6395597827366697,-1.6138611479019853,157.66666666666666
CAMPAIGN_008,c008_deduped_forensic_train,none,AUD_USD,44,3.293245093881681,0.0,3.293245093881681,151.83333333333331
CAMPAIGN_008,c008_deduped_forensic_train,none,EUR_USD,35,5.416491762687294,0.0,5.416491762687294,116.16666666666666
CAMPAIGN_008,c008_deduped_forensic_train,none,GBP_USD,37,1.0121130565647416,0.0,1.0121130565647416,114.66666666666667
CAMPAIGN_008,c008_deduped_forensic_train,none,USD_CAD,41,-15.66131010849368,0.0,-15.66131010849368,100.0
CAMPAIGN_008,c008_deduped_forensic_train,none,USD_CHF,22,0.4555527201217826,0.0,0.4555527201217826,63.666666666666664
CAMPAIGN_008,c008_deduped_forensic_train,none,USD_JPY,37,0.0934369004187925,0.0,0.0934369004187925,130.16666666666669
CAMPAIGN_008,c008_deduped_forensic_train,synthetic_fixture,AUD_USD,44,3.293245093881681,-2.2591630789215302,1.034082014960152,151.83333333333331
CAMPAIGN_008,c008_deduped_forensic_train,synthetic_fixture,EUR_USD,35,5.416491762687294,-2.598893398994756,2.817598363692539,116.16666666666666
CAMPAIGN_008,c008_deduped_forensic_train,synthetic_fixture,GBP_USD,37,1.0121130565647416,-2.351811966836697,-1.3396989102719559,114.66666666666667
CAMPAIGN_008,c008_deduped_forensic_train,synthetic_fixture,USD_CAD,41,-15.66131010849368,-1.5460166661073016,-17.207326774600983,100.0
CAMPAIGN_008,c008_deduped_forensic_train,synthetic_fixture,USD_CHF,22,0.4555527201217826,-1.65200979746809,-1.1964570773463066,63.666666666666664
CAMPAIGN_008,c008_deduped_forensic_train,synthetic_fixture,USD_JPY,37,0.0934369004187925,-6.9066535567305305,-6.813216656311737,130.16666666666669
CAMPAIGN_008,c008_deduped_forensic_train,manual_observed_fixture,AUD_USD,44,3.293245093881681,-3.8728509924369097,-0.579605898555229,151.83333333333331
CAMPAIGN_008,c008_deduped_forensic_train,manual_observed_fixture,EUR_USD,35,5.416491762687294,-5.197786797989512,0.2187049646977821,116.16666666666666
CAMPAIGN_008,c008_deduped_forensic_train,manual_observed_fixture,GBP_USD,37,1.0121130565647416,-4.0316776574343365,-3.0195646008695967,114.66666666666667
CAMPAIGN_008,c008_deduped_forensic_train,manual_observed_fixture,USD_CAD,41,-15.66131010849368,-3.7104399986575243,-19.371750107151197,100.0
CAMPAIGN_008,c008_deduped_forensic_train,manual_observed_fixture,USD_CHF,22,0.4555527201217826,-2.2026797299574534,-1.7471270098356702,63.666666666666664
CAMPAIGN_008,c008_deduped_forensic_train,manual_observed_fixture,USD_JPY,37,0.0934369004187925,-6.9066535567305305,-6.813216656311737,130.16666666666669
