condition,horizon_min,null,obs_bp,uncond_bp,null_mean_bp,null_std_bp,z
weakest,60,randomized_ranks,-0.03406182526599376,-0.003554794942717479,-0.015563852535456783,0.06461712091780662,-0.28627045692838143
weakest,60,shuffled_currencies,-0.03406182526599376,-0.003554794942717479,0.0015819626556463295,0.04965486646607086,-0.7178307074090203
weakest,60,matched_timestamps,-0.03406182526599376,-0.003554794942717479,-0.0011797453520764965,0.06605307140406037,-0.49781303450328207
weakest,60,unconditional,-0.03406182526599376,-0.003554794942717479,-0.004458606886043452,0.07166103108165076,-0.4131006480526401
rapid_strengthen,60,randomized_ranks,0.006594578534334243,-0.003554794942717479,-0.014676231970506607,0.06431295752917303,0.33073911264603545
rapid_strengthen,60,shuffled_currencies,0.006594578534334243,-0.003554794942717479,-0.0021886526956756873,0.09386543825056058,0.09357258000079145
rapid_strengthen,60,matched_timestamps,0.006594578534334243,-0.003554794942717479,-0.001662484191691684,0.06406973166996487,0.12887618709813858
rapid_strengthen,60,unconditional,0.006594578534334243,-0.003554794942717479,-0.0031632470333554327,0.07162141377232166,0.13624173349480323
rapid_weaken,60,randomized_ranks,-0.05811963036405702,-0.003554794942717479,-0.013795222574067007,0.06527577059427374,-0.6790330835845901
rapid_weaken,60,shuffled_currencies,-0.05811963036405702,-0.003554794942717479,0.0019511198214377118,0.08387333945823632,-0.7162079222493127
rapid_weaken,60,matched_timestamps,-0.05811963036405702,-0.003554794942717479,-0.0009586741036815036,0.06498827194934807,-0.8795580270995176
rapid_weaken,60,unconditional,-0.05811963036405702,-0.003554794942717479,-0.0032277932805720782,0.07193601111933298,-0.7630647881271335
strongest,240,randomized_ranks,-0.020449501027202718,-0.014753986774504887,-0.014129420041405034,0.12674482615428048,-0.0498646073182076
strongest,240,shuffled_currencies,-0.020449501027202718,-0.014753986774504887,-0.03222800903078228,0.1611257552886867,0.07310133617357562
strongest,240,matched_timestamps,-0.020449501027202718,-0.014753986774504887,0.0029460097867251168,0.12316771851937447,-0.1899483979663688
strongest,240,unconditional,-0.020449501027202718,-0.014753986774504887,-0.016037800287056807,0.13563346964849846,-0.03252663779507429
weakest,240,randomized_ranks,0.006946559474033626,-0.014753986774504887,-0.016757384014856543,0.12707551146952326,0.18653431502870738
weakest,240,shuffled_currencies,0.006946559474033626,-0.014753986774504887,-0.013561470539401077,0.16069044327841261,0.1276244535457684
weakest,240,matched_timestamps,0.006946559474033626,-0.014753986774504887,-0.0020721367307528237,0.12495641994211824,0.07217473267051065
weakest,240,unconditional,0.006946559474033626,-0.014753986774504887,-0.01517092808268212,0.13738782183079157,0.16098579380606165
rapid_strengthen,240,randomized_ranks,0.12581086060438587,-0.014753986774504887,-0.018701367901190705,0.12742442775734053,1.1341014517308803
rapid_strengthen,240,shuffled_currencies,0.12581086060438587,-0.014753986774504887,-0.028745023965106434,0.1441177767423183,1.0724276217904558
rapid_strengthen,240,matched_timestamps,0.12581086060438587,-0.014753986774504887,-0.004895893892356388,0.12613921092065647,1.0362103389005568
rapid_strengthen,240,unconditional,0.12581086060438587,-0.014753986774504887,-0.011245811032317626,0.13783850742958217,0.9943278855273582
rapid_weaken,240,randomized_ranks,-0.07936299197890916,-0.014753986774504887,-0.020370019767997752,0.12816852797221656,-0.46027658384045317
rapid_weaken,240,shuffled_currencies,-0.07936299197890916,-0.014753986774504887,-0.008699888484105375,0.1124157373705959,-0.6285872881112002
rapid_weaken,240,matched_timestamps,-0.07936299197890916,-0.014753986774504887,-0.009118590343854354,0.12219964103082026,-0.5748331258791365
rapid_weaken,240,unconditional,-0.07936299197890916,-0.014753986774504887,-0.013308375780805225,0.13695515390090354,-0.4823083638451386
