condition,horizon_min,currency,year,session,fwd_bp
strongest,60,CAD,2021,overlap,27.113539579254883
strongest,60,CAD,2021,new_york,-19.40836918783717
strongest,60,CAD,2021,asia,10.972236574502968
strongest,60,CAD,2021,london,-1.4318442177943536
strongest,60,AUD,2021,london,20.089963567604396
strongest,60,AUD,2021,london,-11.810195158694636
strongest,60,GBP,2021,london,10.944482679013934
strongest,60,GBP,2021,overlap,-7.122114026132387
strongest,60,NZD,2021,overlap,-35.26492161335604
strongest,60,JPY,2021,overlap,5.116699770226774
strongest,60,JPY,2021,overlap,8.188383385050457
strongest,60,JPY,2021,new_york,-22.04537346359281
strongest,60,USD,2021,asia,2.594778329017
strongest,60,NZD,2021,london,2.8322956838122693
strongest,60,NZD,2021,london,17.949668503274285
strongest,60,NZD,2021,london,1.1053306220598635
strongest,60,NZD,2021,london,10.952402180115506
strongest,60,NZD,2021,overlap,5.062640847666167
strongest,60,NZD,2021,overlap,-22.977036272331386
strongest,60,GBP,2021,overlap,6.919701444787485
strongest,60,GBP,2021,overlap,-23.068972911148844
strongest,60,JPY,2021,asia,2.6730969467081422
strongest,60,JPY,2021,london,0.3168477717530038
strongest,60,JPY,2021,london,-23.83495383057266
strongest,60,CAD,2021,london,-12.981171163438109
strongest,60,GBP,2021,london,5.500205995283558
strongest,60,GBP,2021,overlap,11.710457692253318
strongest,60,NZD,2021,overlap,3.206271658218185
strongest,60,NZD,2021,overlap,12.55718115411586
strongest,60,NZD,2021,overlap,-21.42167115364968
strongest,60,NZD,2021,asia,-46.028065004573016
strongest,60,JPY,2021,london,9.319984072515552
strongest,60,JPY,2021,london,-5.314765970032553
strongest,60,JPY,2021,london,-7.257120068633327
strongest,60,JPY,2021,london,-6.451634636839287
strongest,60,AUD,2021,london,5.969983061056006
strongest,60,AUD,2021,overlap,-25.74339943034465
strongest,60,EUR,2021,overlap,-0.9348429657030088
strongest,60,GBP,2021,overlap,17.51859750917184
strongest,60,GBP,2021,overlap,7.426694020655766
strongest,60,GBP,2021,new_york,-2.004184906354567
strongest,60,GBP,2021,asia,5.445516906570358
strongest,60,GBP,2021,london,2.6409552561523775
strongest,60,GBP,2021,london,-6.436464774979278
strongest,60,CAD,2021,london,0.5569944580494091
strongest,60,USD,2021,london,6.431886612767723
strongest,60,USD,2021,overlap,8.628751846676552
strongest,60,USD,2021,overlap,-10.801739868461224
strongest,60,USD,2021,overlap,-13.923493586330826
strongest,60,AUD,2021,new_york,19.552913124993854
strongest,60,AUD,2021,new_york,-8.764743007838582
strongest,60,CAD,2021,new_york,25.238420502012303
strongest,60,CAD,2021,asia,20.813661270739637
strongest,60,CAD,2021,london,9.300088860808575
strongest,60,CAD,2021,london,-1.2030847106445086
strongest,60,CAD,2021,london,-1.2831308410093945
strongest,60,NZD,2021,london,0.7153197200748806
strongest,60,NZD,2021,overlap,-9.422470684385953
strongest,60,GBP,2021,overlap,3.1497246521272615
strongest,60,JPY,2021,overlap,9.796168461022603
strongest,60,CAD,2021,overlap,-21.20482722263839
strongest,60,CHF,2021,asia,-4.957724997125961
strongest,60,CAD,2021,london,8.840383444692067
strongest,60,CAD,2021,london,1.6081824356808938
strongest,60,EUR,2021,london,0.8140387790089854
strongest,60,NZD,2021,london,-15.468511188605483
strongest,60,GBP,2021,overlap,-12.756467326919818
strongest,60,USD,2021,overlap,7.098849140503294
strongest,60,USD,2021,overlap,10.360572165112325
strongest,60,USD,2021,overlap,5.116970618170846
strongest,60,USD,2021,new_york,-3.8073288743611933
strongest,60,JPY,2021,asia,-3.7315910123858487
strongest,60,JPY,2021,asia,-10.580880754806898
strongest,60,EUR,2021,london,0.5515723963012142
strongest,60,AUD,2021,london,7.62776252256403
strongest,60,AUD,2021,overlap,4.65547342465733
strongest,60,AUD,2021,overlap,2.2691713254596735
strongest,60,JPY,2021,overlap,11.565727886306831
strongest,60,JPY,2021,overlap,-2.2465643310543015
strongest,60,JPY,2021,new_york,-4.880174884096533
strongest,60,NZD,2021,asia,6.475377154455675
strongest,60,NZD,2021,london,-21.487630255203616
strongest,60,NZD,2021,london,28.748313078270638
strongest,60,NZD,2021,london,-35.44754935378425
strongest,60,JPY,2021,overlap,2.9985865799009304
strongest,60,JPY,2021,overlap,-8.183616928452153
strongest,60,JPY,2021,overlap,-43.64512030395673
strongest,60,NZD,2021,london,-2.668461039951886
strongest,60,NZD,2021,london,-8.86795011072472
strongest,60,NZD,2021,london,-9.123910563928472
strongest,60,NZD,2021,overlap,8.984988343025968
strongest,60,USD,2021,overlap,21.210001522297127
strongest,60,USD,2021,overlap,-4.797228324262548
strongest,60,USD,2021,new_york,9.244068424347773
strongest,60,USD,2021,asia,-21.55053650780614
strongest,60,NZD,2021,london,7.928856054819633
strongest,60,AUD,2021,london,-6.86095790664254
strongest,60,AUD,2021,london,5.008913386481684
strongest,60,NZD,2021,overlap,-12.637530756025583
strongest,60,USD,2021,overlap,-13.954898590741172
strongest,60,CAD,2021,overlap,-4.805151214460901
strongest,60,CAD,2021,overlap,-9.76335937091899
strongest,60,USD,2021,asia,-3.207011144641392
strongest,60,GBP,2021,london,-1.318285144265019
strongest,60,USD,2021,london,14.458578970222291
strongest,60,USD,2021,overlap,6.597101116280202
strongest,60,USD,2021,overlap,22.38949194501516
strongest,60,USD,2021,overlap,7.54488865596703
strongest,60,USD,2021,new_york,10.10217039075223
strongest,60,USD,2021,asia,-14.670777542660218
strongest,60,USD,2021,london,9.691007510043148
strongest,60,JPY,2021,london,-2.4470235128060125
strongest,60,GBP,2021,london,-15.011915028937395
strongest,60,CAD,2021,london,-0.1595316151806192
strongest,60,CAD,2021,overlap,-23.423505909401786
strongest,60,NZD,2021,overlap,-7.739622643345712
strongest,60,USD,2021,overlap,16.53579043803588
strongest,60,USD,2021,asia,0.26328293879163134
strongest,60,USD,2021,london,-4.425392017549656
strongest,60,GBP,2021,london,3.1588779879876405
strongest,60,GBP,2021,london,-2.197325706772002
strongest,60,NZD,2021,overlap,6.972687534609889
strongest,60,NZD,2021,overlap,19.85214912505029
strongest,60,CAD,2021,overlap,-0.7980527517123526
strongest,60,CAD,2021,asia,-7.5783263503678695
strongest,60,CAD,2021,london,-0.5581758813633098
strongest,60,NZD,2021,london,53.00931127261599
strongest,60,NZD,2021,overlap,3.237106884665941
strongest,60,NZD,2021,overlap,0.42545346274014406
strongest,60,NZD,2021,overlap,-0.029462742681118925
strongest,60,NZD,2021,new_york,-42.565187720771114
strongest,60,USD,2021,london,-5.630377218913685
strongest,60,JPY,2021,london,1.6443577814229116
strongest,60,JPY,2021,london,1.6995554756338294
strongest,60,USD,2021,overlap,5.971958101693708
strongest,60,JPY,2021,overlap,1.3651903905831375
strongest,60,JPY,2021,new_york,15.25109609975317
strongest,60,JPY,2021,london,-5.38011630982993
strongest,60,JPY,2021,london,-2.366728350038372
strongest,60,CHF,2021,overlap,21.0286783668355
strongest,60,CHF,2021,overlap,1.2350728899181151
strongest,60,CHF,2021,overlap,5.784895818759932
strongest,60,JPY,2021,asia,6.236723116375131
strongest,60,JPY,2021,london,-2.906778565243684
strongest,60,JPY,2021,london,10.115653623889997
strongest,60,JPY,2021,london,-3.1032012850662483
strongest,60,CHF,2021,overlap,14.976333775890554
strongest,60,CHF,2021,overlap,6.261121828968069
strongest,60,JPY,2021,overlap,-11.765703987025589
strongest,60,CHF,2021,overlap,0.7720333769342669
